method,ms,s,avg,speedup,efficiency
serial,94160,94.16,94.16,,
omp_height,14873,14.873,14.7788,0.156954121,0.019619265
omp_height,14634,14.634,,,
omp_height,15465,15.465,,,
omp_height,14681,14.681,,,
omp_height,14677,14.677,,,
omp_height,14648,14.648,,,
omp_height,14674,14.674,,,
omp_height,14664,14.664,,,
omp_height,14681,14.681,,,
omp_height,14791,14.791,,,
omp_width,14814,14.814,14.9426,0.158693713,0.019836714
omp_width,14642,14.642,,,
omp_width,15677,15.677,,,
omp_width,14912,14.912,,,
omp_width,14996,14.996,,,
omp_width,14994,14.994,,,
omp_width,14780,14.78,,,
omp_width,14788,14.788,,,
omp_width,14884,14.884,,,
omp_width,14939,14.939,,,
omp_samps,32339,32.339,31.9667,0.339493415,0.042436677
omp_samps,31865,31.865,,,
omp_samps,31900,31.9,,,
omp_samps,31927,31.927,,,
omp_samps,31881,31.881,,,
omp_samps,31829,31.829,,,
omp_samps,31832,31.832,,,
omp_samps,31841,31.841,,,
omp_samps,31939,31.939,,,
omp_samps,32314,32.314,,,
thread_pool,15225,15.225,15.1124,0.160497026,0.020062128
thread_pool,14878,14.878,,,
thread_pool,14960,14.96,,,
thread_pool,15700,15.7,,,
thread_pool,15166,15.166,,,
thread_pool,15078,15.078,,,
thread_pool,14952,14.952,,,
thread_pool,15067,15.067,,,
thread_pool,15145,15.145,,,
thread_pool,14953,14.953,,,
